system,stratification,fast_frac,slow_frac,coupling,lag_persist,hysteresis,delay,anchor
Kuramoto,0.1867,0.2889,0.3617,0.1153,0.5000,0.6850,0.0000,0.2495
Logistic,0.8932,0.5550,0.1828,0.0076,0.5000,0.0452,0.0000,0.2495
