system,fractal_dim,self_sim,topology,pattern,invariant,coalition,attractor,temporal
Kuramoto,1.0414,0.1179,0.5365,0.0066,0.9931,0.6667,0.0900,1.0000
Logistic,1.0414,0.0656,0.0975,0.0066,0.8390,0.7143,0.1300,1.0000
