model,features,eigenvalue,eig_dest,gap_dest,survived
M1,F1+F2,0.0496,0.9640,0.9567,False
M2,F1+F3,0.0000,1.0000,1.0000,False
M3,F1+F4,0.0000,1.0000,1.0000,False
M4,F1+F5,0.0000,1.0000,1.0000,False
M5,F2+F3,0.0489,0.9645,0.9562,False
M6,F2+F4,0.0508,0.9631,0.9569,False
M7,F2+F5,0.0532,0.9613,0.9504,False
M8,F3+F4,0.0000,1.0000,1.0000,False
M9,F3+F5,0.0000,1.0000,1.0000,False
M10,F4+F5,0.0000,1.0000,1.0000,False
