system,dom_rhythm,hier_depth,sync_dom,rhythm_pers,gov_coup,cross_rhythm,harmonic,instab_sens
Kuramoto,0.1653,1.0000,0.8464,0.7560,0.1399,0.2500,0.3333,0.2951
Logistic,0.1266,1.0000,0.0142,0.9871,0.0018,0.2500,0.3333,0.3556
