system,transform_type,transform_name,metric,value
Logistic,basis_preserving,invertible_linear,mst_similarity,0.272727
Logistic,basis_preserving,invertible_linear,eigenvector_similarity,0.457209
Logistic,basis_preserving,invertible_linear,frobenius_similarity,0.603162
Logistic,basis_preserving,nonlinear_warp,correlation_similarity,0.998839
Logistic,basis_preserving,nonlinear_warp,mst_similarity,0.750000
Logistic,basis_preserving,nonlinear_warp,eigenvector_similarity,0.999671
Logistic,basis_preserving,nonlinear_warp,frobenius_similarity,0.998337
Logistic,relation_destroying,triadic_destruction,correlation_similarity,0.210633
Logistic,relation_destroying,triadic_destruction,mst_similarity,0.000000
Logistic,relation_destroying,triadic_destruction,eigenvector_similarity,0.693946
Logistic,relation_destroying,triadic_destruction,frobenius_similarity,0.957257
Logistic,relation_destroying,mst_scrambling,correlation_similarity,0.124739
Logistic,relation_destroying,mst_scrambling,mst_similarity,0.166667
Logistic,relation_destroying,mst_scrambling,eigenvector_similarity,0.596181
Logistic,relation_destroying,mst_scrambling,frobenius_similarity,0.319334
Logistic,relation_destroying,shortest_path_randomization,correlation_similarity,0.309158
Logistic,relation_destroying,shortest_path_randomization,mst_similarity,0.272727
Logistic,relation_destroying,shortest_path_randomization,eigenvector_similarity,0.764351
Logistic,relation_destroying,shortest_path_randomization,frobenius_similarity,0.832297
Logistic,relation_destroying,recurrence_destruction,correlation_similarity,-0.038632
Logistic,relation_destroying,recurrence_destruction,mst_similarity,0.166667
Logistic,relation_destroying,recurrence_destruction,eigenvector_similarity,0.329128
Logistic,relation_destroying,recurrence_destruction,frobenius_similarity,0.955988
Logistic,relation_destroying,random_graph_rewiring,correlation_similarity,0.123283
Logistic,relation_destroying,random_graph_rewiring,mst_similarity,0.166667
Logistic,relation_destroying,random_graph_rewiring,eigenvector_similarity,0.518727
Logistic,relation_destroying,random_graph_rewiring,frobenius_similarity,0.945336
Logistic,relation_destroying,coordinate_destruction,correlation_similarity,0.188858
Logistic,relation_destroying,coordinate_destruction,mst_similarity,0.272727
Logistic,relation_destroying,coordinate_destruction,eigenvector_similarity,0.102815
Logistic,relation_destroying,coordinate_destruction,frobenius_similarity,0.961959

system,basis_invariance,relational_causal_impact
EEG,0.745630,0.027634
Kuramoto,0.657942,-0.008837
Logistic,0.557729,0.143529
