experiment,condition,K,DNI,R,baseline_org
heterogeneity,0.05,0.020000,0.229695,0.653391,6.458498
heterogeneity,0.05,0.030000,0.067527,0.460047,6.479743
heterogeneity,0.05,0.050000,-0.159854,0.699604,6.485042
heterogeneity,0.05,0.070000,0.339173,0.550979,6.511582
heterogeneity,0.05,0.100000,0.857916,0.643266,6.555127
heterogeneity,0.05,0.150000,1.005194,0.902210,6.701368
heterogeneity,0.05,0.200000,1.107373,0.949385,6.857574
heterogeneity,0.05,0.300000,0.789609,0.972974,6.865178
heterogeneity,0.05,0.500000,0.755319,0.962287,6.905878
heterogeneity,0.05,0.800000,1.076532,0.981640,6.941044
heterogeneity,0.05,1.000000,0.950376,0.997338,6.965234
heterogeneity,0.1,0.000000,-0.147959,0.222226,6.449783
heterogeneity,0.1,0.001000,0.417823,0.119007,6.485690
heterogeneity,0.1,0.005000,-0.072308,0.435556,6.462528
heterogeneity,0.1,0.010000,-0.770735,0.233636,6.456506
heterogeneity,0.1,0.020000,0.273707,0.525925,6.461265
heterogeneity,0.1,0.030000,0.093572,0.561441,6.481412
heterogeneity,0.1,0.050000,-0.335965,0.496161,6.470144
heterogeneity,0.1,0.070000,-0.040995,0.670829,6.508125
heterogeneity,0.1,0.100000,0.993856,0.779085,6.483950
heterogeneity,0.1,0.150000,0.648139,0.895243,6.588246
heterogeneity,0.1,0.200000,1.142595,0.956080,6.775795
heterogeneity,0.1,0.300000,0.819535,0.969043,6.717923
heterogeneity,0.1,0.500000,0.739038,0.960895,6.814698
heterogeneity,0.1,0.800000,1.166493,0.981625,6.905897
heterogeneity,0.1,1.000000,0.945063,0.997004,6.950704
heterogeneity,0.2,0.000000,-0.481357,0.371361,6.467082
heterogeneity,0.2,0.001000,0.105548,0.198705,6.512259
heterogeneity,0.2,0.005000,0.277559,0.360016,6.459826
heterogeneity,0.2,0.010000,-0.192644,0.307744,6.453972
heterogeneity,0.2,0.020000,-0.033583,0.448565,6.457625
heterogeneity,0.2,0.030000,-0.201479,0.579863,6.480603
heterogeneity,0.2,0.050000,-0.151668,0.344016,6.499313
heterogeneity,0.2,0.070000,0.327338,0.729879,6.420821
heterogeneity,0.2,0.100000,0.983705,0.750997,6.430020
heterogeneity,0.2,0.150000,0.484178,0.872530,6.593475
heterogeneity,0.2,0.200000,1.151094,0.958944,6.608141
heterogeneity,0.2,0.300000,0.862394,0.947820,6.563002
heterogeneity,0.2,0.500000,0.715329,0.954993,6.620835
heterogeneity,0.2,0.800000,1.232666,0.976865,6.802553
heterogeneity,0.2,1.000000,0.942971,0.995098,6.863630
heterogeneity,0.4,0.000000,-0.046276,0.253438,6.460881
heterogeneity,0.4,0.001000,-0.098246,0.267185,6.531220
heterogeneity,0.4,0.005000,-0.414532,0.311310,6.451419
heterogeneity,0.4,0.010000,-0.148177,0.311083,6.459219
heterogeneity,0.4,0.020000,0.488687,0.378688,6.439319
heterogeneity,0.4,0.030000,-0.602711,0.467378,6.497024
heterogeneity,0.4,0.050000,0.047444,0.357755,6.513996
heterogeneity,0.4,0.070000,0.215094,0.617383,6.302563
heterogeneity,0.4,0.100000,0.918753,0.597541,6.319956
heterogeneity,0.4,0.150000,0.048908,0.657571,6.586060
heterogeneity,0.4,0.200000,0.615599,0.941041,6.506943
heterogeneity,0.4,0.300000,0.606022,0.797555,6.451482
heterogeneity,0.4,0.500000,0.700200,0.929170,6.520982
heterogeneity,0.4,0.800000,1.219933,0.975034,6.671205
heterogeneity,0.4,1.000000,1.145659,0.980832,6.675841
heterogeneity,0.8,0.000000,-0.074985,0.238157,6.407430
heterogeneity,0.8,0.001000,-0.337429,0.278925,6.511895
heterogeneity,0.8,0.005000,-0.567354,0.302199,6.137368
heterogeneity,0.8,0.010000,-0.170019,0.298893,6.350926
heterogeneity,0.8,0.020000,0.106833,0.365755,6.366821
heterogeneity,0.8,0.030000,0.212830,0.414680,6.449265
heterogeneity,0.8,0.050000,-0.142818,0.319114,6.451062
heterogeneity,0.8,0.070000,0.013612,0.483414,6.125708
heterogeneity,0.8,0.100000,0.644485,0.490535,6.154180
heterogeneity,0.8,0.150000,0.277393,0.593798,6.522340
heterogeneity,0.8,0.200000,0.213427,0.859870,6.403302
heterogeneity,0.8,0.300000,0.752088,0.594596,6.225636
heterogeneity,0.8,0.500000,0.806491,0.793232,6.406843
heterogeneity,0.8,0.800000,1.152386,0.953022,6.546638
heterogeneity,0.8,1.000000,0.746432,0.967984,6.507065
heterogeneity,1.6,0.000000,-0.015021,0.281809,6.112282
heterogeneity,1.6,0.001000,-0.270163,0.304145,6.279765
heterogeneity,1.6,0.005000,0.061768,0.287956,5.871041
