system,k,metric,value
Kuramoto,1,0.700663,0.138707
Kuramoto,2,0.692649,0.136634
Kuramoto,3,0.690868,0.137172
Kuramoto,5,0.690490,0.135140
Kuramoto,8,0.690488,0.135152
Kuramoto,13,0.690488,0.135152
Kuramoto,21,0.690488,0.135152
Logistic,1,0.313780,0.223241
Logistic,2,0.328298,0.225691
Logistic,3,0.326081,0.221135
Logistic,5,0.363989,0.215750
Logistic,8,0.352942,0.229793
Logistic,13,0.352942,0.229793
Logistic,21,0.352942,0.229793
