system,identity_persistence,attractor_overlap,topology_retention,coalition_retention,fingerprint_strength,recovery_lock
Kuramoto,0.990654,0.136111,0.800000,0.580000,0.859257,1.000000
Logistic,0.964024,0.282937,0.933333,0.690000,0.723228,1.000000
