Split,Mean_D_eff,Std_D_eff,Median_D_eff
0,2.7482304770459,0.5929631827510734,2.5568445644285367
1,2.659464082655609,0.5139343091915601,2.5566475535986624
2,2.742569875953373,0.47978237624931747,2.679134043077879
3,2.7274489058675697,0.5002287868793144,2.5843114105277825
4,2.876910661692027,0.6025149655175975,2.686610641366994
